Model,DPO2012
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,1e+08,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Label,PPS board#1,PPS board#2
TIME,CH1,CH2
-4.96314e-05,0.04,0.02
-4.96304e-05,0.04,0.02
-4.96294e-05,0.08,0.02
-4.96284e-05,0.04,0.02
-4.96274e-05,0.08,0.02
-4.96264e-05,0.04,0.02
-4.96254e-05,0.04,0.02
-4.96244e-05,0.04,0.02
-4.96234e-05,0.08,0.02
-4.96224e-05,0.04,0.02
-4.96214e-05,0.08,0.02
-4.96204e-05,0.04,0.06
-4.96194e-05,0.08,0.02
-4.96184e-05,0.04,0.02
-4.96174e-05,0.08,0.02
-4.96164e-05,0.04,-0.02
-4.96154e-05,0.08,-0.02
-4.96144e-05,0.04,-0.02
-4.96134e-05,0.08,0.02
-4.96124e-05,0.08,0.06
-4.96114e-05,0.08,0.06
-4.96104e-05,0.04,0.06
-4.96094e-05,0.08,0.06
-4.96084e-05,0.08,0.02
-4.96074e-05,0.08,0.02
-4.96064e-05,0.04,-0.02
-4.96054e-05,0.04,-0.02
-4.96044e-05,0.04,0.02
-4.96034e-05,0.04,0.02
-4.96024e-05,0.04,0.06
-4.96014e-05,0.08,0.06
-4.96004e-05,0.04,0.06
-4.95994e-05,0.08,0.06
-4.95984e-05,0.04,0.02
-4.95974e-05,0.04,0.02
-4.95964e-05,0.04,-0.02
-4.95954e-05,0.04,-0.02
-4.95944e-05,0.04,0.02
-4.95934e-05,0.04,0.02
-4.95924e-05,0.04,0.06
-4.95914e-05,0.08,0.06
-4.95904e-05,0.08,0.06
-4.95894e-05,0.08,0.02
-4.95884e-05,0.08,0.02
-4.95874e-05,0.08,0.02
-4.95864e-05,0.08,0.02
-4.95854e-05,0.08,0.02
-4.95844e-05,0.04,0.02
-4.95834e-05,0.08,0.02
-4.95824e-05,0.08,0.06
-4.95814e-05,0.08,0.06
-4.95804e-05,0.08,0.06
-4.95794e-05,0.08,0.06
-4.95784e-05,0.04,0.06
-4.95774e-05,0.04,0.02
-4.95764e-05,0.04,0.02
-4.95754e-05,0.04,0.02
-4.95744e-05,0.04,0.02
-4.95734e-05,0.04,0.02
-4.95724e-05,0.08,0.02
-4.95714e-05,0.08,0.02
-4.95704e-05,0.04,0.02
-4.95694e-05,0.08,0.02
-4.95684e-05,0.04,0.02
-4.95674e-05,0.08,0.06
-4.95664e-05,0.04,0.02
-4.95654e-05,0.08,0.02
-4.95644e-05,0.08,0.02
-4.95634e-05,0.08,-0.02
-4.95624e-05,0.08,0.02
-4.95614e-05,0.08,0.02
-4.95604e-05,0.08,0.06
-4.95594e-05,0.08,0.06
-4.95584e-05,0.08,0.06
-4.95574e-05,0.08,0.06
-4.95564e-05,0.08,0.06
-4.95554e-05,0.08,0.02
-4.95544e-05,0.08,-0.02
-4.95534e-05,0.08,-0.02
-4.95524e-05,0.08,-0.02
-4.95514e-05,0.08,0.02
-4.95504e-05,0.08,0.02
-4.95494e-05,0.08,0.06
-4.95484e-05,0.08,0.06
-4.95474e-05,0.08,0.06
-4.95464e-05,0.08,0.06
-4.95454e-05,0.04,0.02
-4.95444e-05,0.04,0.02
-4.95434e-05,0.04,-0.02
-4.95424e-05,0,-0.02
-4.95414e-05,0.04,0.02
-4.95404e-05,0.04,0.06
-4.95394e-05,0.08,0.06
-4.95384e-05,0.04,0.1
-4.95374e-05,0.08,0.06
-4.95364e-05,0.04,0.06
-4.95354e-05,0.04,0.02
-4.95344e-05,0.04,-0.02
-4.95334e-05,0.04,-0.02
-4.95324e-05,0.04,-0.02
-4.95314e-05,0.04,0.02
-4.95304e-05,0.04,0.06
-4.95294e-05,0.08,0.1
-4.95284e-05,0.08,0.1
-4.95274e-05,0.08,0.06
-4.95264e-05,0.08,0.02
-4.95254e-05,0.04,-0.02
-4.95244e-05,0.04,-0.02
-4.95234e-05,0.04,-0.02
-4.95224e-05,0,-0.02
-4.95214e-05,0.04,0.02
-4.95204e-05,0.04,0.06
-4.95194e-05,0.08,0.06
-4.95184e-05,0.12,0.06
-4.95174e-05,0.12,0.06
-4.95164e-05,0.08,0.02
-4.95154e-05,0.04,-0.02
-4.95144e-05,0.04,-0.02
-4.95134e-05,0.04,-0.02
-4.95124e-05,0,0.02
-4.95114e-05,0.04,0.06
-4.95104e-05,0.04,0.1
-4.95094e-05,0.08,0.1
-4.95084e-05,0.08,0.1
-4.95074e-05,0.08,0.06
-4.95064e-05,0.04,0.02
-4.95054e-05,0.08,-0.06
-4.95044e-05,0.04,-0.06
-4.95034e-05,0.04,-0.06
-4.95024e-05,0.04,0.02
-4.95014e-05,0.08,0.06
-4.95004e-05,0.08,0.1
-4.94994e-05,0.08,0.1
-4.94984e-05,0.08,0.1
-4.94974e-05,0.08,0.06
-4.94964e-05,0.04,0.02
-4.94954e-05,0.04,-0.02
-4.94944e-05,0.04,-0.06
-4.94934e-05,0.04,-0.02
-4.94924e-05,0.04,0.02
-4.94914e-05,0.08,0.06
-4.94904e-05,0.08,0.1
-4.94894e-05,0.08,0.06
-4.94884e-05,0.08,0.1
-4.94874e-05,0.08,0.06
-4.94864e-05,0.04,0.02
-4.94854e-05,0.04,0.02
-4.94844e-05,0.04,0.02
-4.94834e-05,0.04,0.02
-4.94824e-05,0.04,0.02
-4.94814e-05,0.08,0.06
-4.94804e-05,0.04,0.06
-4.94794e-05,0.08,0.06
-4.94784e-05,0.08,0.06
-4.94774e-05,0.08,0.06
-4.94764e-05,0.08,0.02
-4.94754e-05,0.08,0.02
-4.94744e-05,0.08,0.02
-4.94734e-05,0.08,0.02
-4.94724e-05,0.08,0.06
-4.94714e-05,0.08,0.02
-4.94704e-05,0.08,0.06
-4.94694e-05,0.08,0.02
-4.94684e-05,0.04,0.02
-4.94674e-05,0.08,0.02
-4.94664e-05,0.04,0.02
-4.94654e-05,0.04,0.02
-4.94644e-05,0.08,0.02
-4.94634e-05,0.08,0.06
-4.94624e-05,0.12,0.06
-4.94614e-05,0.12,0.02
-4.94604e-05,0.08,0.02
-4.94594e-05,0.08,0.02
-4.94584e-05,0.08,-0.02
-4.94574e-05,0.04,-0.02
-4.94564e-05,0.04,-0.02
-4.94554e-05,0.04,0.02
-4.94544e-05,0.04,0.06
-4.94534e-05,0.08,0.06
-4.94524e-05,0.08,0.1
-4.94514e-05,0.08,0.06
-4.94504e-05,0.04,0.02
-4.94494e-05,0.04,-0.02
-4.94484e-05,0.04,-0.06
-4.94474e-05,0.04,-0.02
-4.94464e-05,0,-0.02
-4.94454e-05,0.04,0.02
-4.94444e-05,0.04,0.1
-4.94434e-05,0.08,0.1
-4.94424e-05,0.08,0.1
-4.94414e-05,0.08,0.06
-4.94404e-05,0.08,0.02
-4.94394e-05,0.08,-0.02
-4.94384e-05,0.04,-0.06
-4.94374e-05,0.04,-0.06
-4.94364e-05,0.04,-0.02
-4.94354e-05,0.04,0.02
-4.94344e-05,0.04,0.1
-4.94334e-05,0.08,0.1
-4.94324e-05,0.12,0.14
-4.94314e-05,0.12,0.1
-4.94304e-05,0.12,0.02
-4.94294e-05,0.08,-0.02
-4.94284e-05,0.04,-0.06
-4.94274e-05,0.04,-0.06
-4.94264e-05,0.04,-0.02
-4.94254e-05,0.08,-0.02
-4.94244e-05,0.08,0.06
