Model,DPO2012
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,1e+08,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Label,PPS board#1,PPS board#2
TIME,CH1,CH2
-4.95598e-05,0.08,0.06
-4.95588e-05,0.08,0.06
-4.95578e-05,0.08,0.06
-4.95568e-05,0.04,0.06
-4.95558e-05,0.04,0.06
-4.95548e-05,0.04,0.02
-4.95538e-05,0.04,0.06
-4.95528e-05,0.04,0.06
-4.95518e-05,0.08,0.02
-4.95508e-05,0.08,0.02
-4.95498e-05,0.08,0.02
-4.95488e-05,0.08,0.02
-4.95478e-05,0.08,0.02
-4.95468e-05,0.04,0.02
-4.95458e-05,0.04,0.02
-4.95448e-05,0,0.02
-4.95438e-05,0.04,0.02
-4.95428e-05,0.08,0.02
-4.95418e-05,0.08,0.02
-4.95408e-05,0.08,0.02
-4.95398e-05,0.12,0.02
-4.95388e-05,0.08,0.06
-4.95378e-05,0.08,0.02
-4.95368e-05,0.04,0.02
-4.95358e-05,0,0.02
-4.95348e-05,0,0.02
-4.95338e-05,0,0.02
-4.95328e-05,0.04,0.06
-4.95318e-05,0.08,0.02
-4.95308e-05,0.08,0.02
-4.95298e-05,0.08,0.06
-4.95288e-05,0.08,0.06
-4.95278e-05,0.08,0.06
-4.95268e-05,0.04,0.06
-4.95258e-05,0.04,0.06
-4.95248e-05,0.04,0.06
-4.95238e-05,0.04,0.06
-4.95228e-05,0.04,0.06
-4.95218e-05,0.08,0.06
-4.95208e-05,0.08,0.02
-4.95198e-05,0.08,0.02
-4.95188e-05,0.04,0.02
-4.95178e-05,0.04,0.02
-4.95168e-05,0.04,0.02
-4.95158e-05,0.04,0.06
-4.95148e-05,0,0.06
-4.95138e-05,0.04,0.02
-4.95128e-05,0.04,0.02
-4.95118e-05,0.08,0.02
-4.95108e-05,0.08,0.02
-4.95098e-05,0.08,0.02
-4.95088e-05,0.08,0.02
-4.95078e-05,0.08,0.02
-4.95068e-05,0.04,0.02
-4.95058e-05,0.04,0.02
-4.95048e-05,0.04,0.06
-4.95038e-05,0.08,0.02
-4.95028e-05,0.08,0.06
-4.95018e-05,0.08,0.06
-4.95008e-05,0.04,0.06
-4.94998e-05,0.04,0.02
-4.94988e-05,0.04,0.02
-4.94978e-05,0.04,0.02
-4.94968e-05,0.04,0.02
-4.94958e-05,0.08,0.02
-4.94948e-05,0.08,0.02
-4.94938e-05,0.08,0.06
-4.94928e-05,0.08,0.06
-4.94918e-05,0.04,0.06
-4.94908e-05,0.04,0.06
-4.94898e-05,0.04,0.06
-4.94888e-05,0.04,0.02
-4.94878e-05,0.04,0.02
-4.94868e-05,0.04,0.02
-4.94858e-05,0.08,0.02
-4.94848e-05,0.12,0.02
-4.94838e-05,0.12,0.02
-4.94828e-05,0.12,0.06
