Model,DPO2012
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,1e+08,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Label,PPS board#1,PPS board#2
TIME,CH1,CH2
-4.92866e-05,0.04,0.02
-4.92856e-05,0.04,0.02
-4.92846e-05,0.04,0.06
-4.92836e-05,0.04,0.06
-4.92826e-05,0.08,0.1
-4.92816e-05,0.12,0.1
-4.92806e-05,0.12,0.1
-4.92796e-05,0.12,0.06
-4.92786e-05,0.08,0.02
-4.92776e-05,0.08,-0.02
-4.92766e-05,0.04,-0.02
-4.92756e-05,0,-0.02
-4.92746e-05,0,0.02
-4.92736e-05,0.04,0.06
-4.92726e-05,0.04,0.14
-4.92716e-05,0.08,0.1
-4.92706e-05,0.12,0.14
-4.92696e-05,0.12,0.1
-4.92686e-05,0.12,0.06
-4.92676e-05,0.08,-0.02
-4.92666e-05,0.04,-0.02
-4.92656e-05,0,-0.02
-4.92646e-05,0,0.02
-4.92636e-05,0.04,0.02
-4.92626e-05,0.04,0.06
-4.92616e-05,0.08,0.1
-4.92606e-05,0.08,0.1
-4.92596e-05,0.12,0.06
-4.92586e-05,0.08,0.06
-4.92576e-05,0.08,-0.02
-4.92566e-05,0.04,-0.02
-4.92556e-05,0,-0.06
-4.92546e-05,0,-0.02
-4.92536e-05,0,0.02
-4.92526e-05,0.04,0.1
-4.92516e-05,0.08,0.1
-4.92506e-05,0.12,0.14
-4.92496e-05,0.12,0.1
-4.92486e-05,0.12,0.06
-4.92476e-05,0.08,0.02
-4.92466e-05,0.04,-0.02
-4.92456e-05,0.04,-0.06
-4.92446e-05,0,-0.02
-4.92436e-05,0.04,0.02
-4.92426e-05,0,0.06
-4.92416e-05,0.04,0.1
-4.92406e-05,0.04,0.14
-4.92396e-05,0.08,0.1
-4.92386e-05,0.12,0.06
-4.92376e-05,0.12,0.02
-4.92366e-05,0.08,0.02
-4.92356e-05,0.04,-0.02
-4.92346e-05,0.04,-0.02
-4.92336e-05,0.04,-0.02
-4.92326e-05,0,0.02
-4.92316e-05,0.04,0.06
-4.92306e-05,0.08,0.1
-4.92296e-05,0.12,0.1
-4.92286e-05,0.12,0.1
-4.92276e-05,0.12,0.02
-4.92266e-05,0.08,0.02
-4.92256e-05,0.04,-0.02
-4.92246e-05,0.04,0.02
-4.92236e-05,0.04,-0.02
-4.92226e-05,0.04,0.02
-4.92216e-05,0.04,0.06
-4.92206e-05,0.04,0.1
-4.92196e-05,0.08,0.06
-4.92186e-05,0.08,0.06
-4.92176e-05,0.12,0.02
-4.92166e-05,0.08,0.02
-4.92156e-05,0.08,0.02
-4.92146e-05,0.04,0.02
-4.92136e-05,0.04,0.02
-4.92126e-05,0.04,0.02
-4.92116e-05,0.04,0.02
-4.92106e-05,0.04,0.06
-4.92096e-05,0.04,0.02
-4.92086e-05,0.04,0.06
-4.92076e-05,0.08,0.02
-4.92066e-05,0.08,0.06
-4.92056e-05,0.08,0.02
-4.92046e-05,0.04,0.02
-4.92036e-05,0.08,0.02
-4.92026e-05,0.04,0.06
-4.92016e-05,0.08,0.02
-4.92006e-05,0.04,0.06
